"","X.2","UniqueID","Experiment","Year","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","RFTM_score.x","peacrabs","Species2.x","Bucket","Color.Number","Old.New","Length_pre","Width_pre","Height_pre","Weight","Length_post","Width_post","Height_post","Weight_post","live_barnacles","dead_barnacles","polydora_scars","RFTM_score.y","Species2.y","Bucket2","Bucket_colnum","Height_diff","Width_diff","Length_diff","Weight_diff","Weight_delta","Height_delta","Width_delta","Length_delta","Volume_pre","Volume_post","Volume_delta","Volume_scale"
"34","2018_HIGH_POLY_HP54_MM","2018_HIGH_POLY_HP54_MM","Lab18",2018,"HIGH","POLY","HP5","4",0,NA,"AM","HP5","4",NA,NA,NA,NA,NA,14.07,9.51,4.72,0.35,0,0,0,0,"AM","HIGH_POLY","HP54",NA,NA,NA,NA,NA,NA,NA,NA,NA,631.562904,NA,NA
"35","2018_HIGH_POLY_HP5G14_CV","2018_HIGH_POLY_HP5G14_CV","Lab18",2018,"HIGH","POLY","HP5","G14",1,NA,"CV","HP5","G14","OLD",32.05,25.08,7.9,3.74,45.36,33.33,13.1,13.81,0,0,0,1,"CV","HIGH_POLY","HP5G14",5.2,8.25,13.31,10.07,2.69251336898396,0.658227848101266,0.328947368421053,0.415288611544462,6350.1306,19805.21928,2.1188680245411,2.10682016029145
"36","2018_HIGH_POLY_HP5G19_CV","2018_HIGH_POLY_HP5G19_CV","Lab18",2018,"HIGH","POLY","HP5","G19",0,NA,"CV","HP5","G19","OLD",48.76,26.01,10.64,8.16,57.57,38.55,12.35,23.34,0,0,0,0,"CV","HIGH_POLY","HP5G19",1.71,12.54,8.81,15.18,1.86029411764706,0.160714285714286,0.482122260668973,0.180680885972108,13494.154464,27408.645225,1.03114950982082,0.681623198052315
"37","2018_HIGH_POLY_HP5G32_CV","2018_HIGH_POLY_HP5G32_CV","Lab18",2018,"HIGH","POLY","HP5","G32",0,NA,"CV","HP5","G32","OLD",38.78,24.97,6.35,5.56,45.41,35.18,12.89,15.21,0,0,0,0,"CV","HIGH_POLY","HP5G32",6.54,10.21,6.63,9.65,1.73561151079137,1.02992125984252,0.408890668802563,0.170964414646725,6148.93741,20592.081782,2.34888459728199,2.40820228838667
"38","2018_HIGH_POLY_HP5G55_CV","2018_HIGH_POLY_HP5G55_CV","Lab18",2018,"HIGH","POLY","HP5","G55",0,NA,"CV","HP5","G55","OLD",43.23,32.37,10.21,8.41,54.61,32.21,14.08,18.57,2,0,1,0,"CV","HIGH_POLY","HP5G55",3.87,-0.159999999999997,11.38,10.16,1.20808561236623,0.379040156709109,-0.00494284831634219,0.26324311820495,14287.415571,24766.552448,0.733452234585387,0.291561572189934
"39","2018_HIGH_POLY_HP5G67_CV","2018_HIGH_POLY_HP5G67_CV","Lab18",2018,"HIGH","POLY","HP5","G67",0.5,NA,"CV","HP5","G67","OLD",45.3,29.85,9.13,8,50.06,28.32,10.44,12.7,0,0,0,0.5,"CV","HIGH_POLY","HP5G67",1.31,-1.53,4.76000000000001,4.7,0.5875,0.143483023001095,-0.0512562814070352,0.105077262693157,12345.63165,14800.779648,0.198867750764295,-0.408884519414864
"40","2018_HIGH_POLY_HP5G7_CV","2018_HIGH_POLY_HP5G7_CV","Lab18",2018,"HIGH","POLY","HP5","G7",0,NA,"CV","HP5","G7","OLD",35,23.78,7.54,3.3,45.09,29.21,11.81,12.28,0,0,0,0,"CV","HIGH_POLY","HP5G7",4.27,5.43,10.09,8.98,2.72121212121212,0.56631299734748,0.228343145500421,0.288285714285714,6275.542,15554.701809,1.47862285185885,1.26793081268329
"41","2018_HIGH_POLY_HP5W69_IR","2018_HIGH_POLY_HP5W69_IR","Lab18",2018,"HIGH","POLY","HP5","W69",0,NA,"IR","HP5","W69",NA,45.44,29.69,18.87,10.35,45.16,24.4,18.43,12.73,0,0,0,0,"IR","HIGH_POLY","HP5W69",-0.440000000000001,-5.29,-0.280000000000001,2.38,0.229951690821256,-0.023317435082141,-0.178174469518356,-0.00616197183098594,25457.773632,20308.09072,-0.202283317718205,-0.9344977883471
"42","2018_HIGH_POLY_HP5Y1_IR","2018_HIGH_POLY_HP5Y1_IR","Lab18",2018,"HIGH","POLY","HP5","Y1",0,NA,"IR","HP5","Y1",NA,31.85,17.73,12.46,3.03,36.92,18.57,14.83,5.29,0,0,0,0,"IR","HIGH_POLY","HP5Y1",2.37,0.84,5.07,2.26,0.745874587458746,0.190208667736758,0.0473773265651438,0.159183673469388,7036.16823,10167.513252,0.445035553392389,-0.0863400377693858
"43","2018_HIGH_POLY_HP5Y27_IR","2018_HIGH_POLY_HP5Y27_IR","Lab18",2018,"HIGH","POLY","HP5","Y27",0,NA,"IR","HP5","Y27",NA,30.48,20.27,11.3,3.05,31.6,19.94,12.68,4.94,0,0,0,0,"IR","HIGH_POLY","HP5Y27",1.38,-0.329999999999998,1.12,1.89,0.619672131147541,0.12212389380531,-0.0162802170695608,0.036745406824147,6981.47448,7989.71872,0.144417091674308,-0.480229185223853
