"","UniqueID","Experiment","Year","Site.x","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number.x","Species.x","RFTM_score.x","peacrabs.x","Date_pre","Site.y","Treatment","Color","Number.y","Species.y","Length_pre","Width_pre","Height_pre","Weight_pre","Length_post","Width_post","Height_post","Weight_post","RFTM_date","RFTM_score.y","peacrabs.y","LiveMM","Treatment2","Colornumber"
"47","2017_OY_HIGH_MONO_Y4_CV","Field17",2017,"OY","HIGH","MONO","Y",4,"CV",1,0,"5/30/2017","OY","HL","Y","4","CV","24.5","17.5","7.1","1.41","45.97",37.25,"16.16",15.75,"9/20-9/27","1",NA,0,"HIGH_MONO","Y4"
"48","2017_OY_HIGH_MONO_Y7_CV","Field17",2017,"OY","HIGH","MONO","Y",7,"CV",1,1,"5/30/2017","OY","HL","Y","7","CV","22.2","18.5","6.75","1.07","53.3",36.91,"16.14",16.16,"9/20-9/27","1",1,0,"HIGH_MONO","Y7"
"49","2017_OY_HIGH_POLY_B1_CV","Field17",2017,"OY","HIGH","POLY","B",1,"CV",0.5,0,"5/30/2017","OY","HH","B","1","CV","22.1","17.8","5.7","0.95","57.1",44.51,"21.16",23.5,"9/20-9/27","0.5",NA,0,"HIGH_POLY","B1"
"50","2017_OY_HIGH_POLY_B9_CV","Field17",2017,"OY","HIGH","POLY","B",9,"CV",3,0,"5/30/2017","OY","HH","B","9","CV","25.45","17.4","7.05","1.67","57.54",44.5,"20.51",27.85,"9/20-9/27","3",NA,0,"HIGH_POLY","B9"
"51","2017_OY_HIGH_POLY_P13_CV","Field17",2017,"OY","HIGH","POLY","P",13,"CV",1,0,"5/28/2017","OY","HH","P","13","CV","20","15.25","6.2","1.04","41.1",35.06,"13.89",13.36,"9/20-9/29","1",NA,1,"HIGH_POLY","P13"
"52","2017_OY_HIGH_POLY_P3_CV","Field17",2017,"OY","HIGH","POLY","P",3,"CV",0,0,"5/28/2017","OY","HH","P","3","CV","19.5","18","5.6","0.92","49.46",48.34,"17.61",18,"9/20-9/29","0",NA,1,"HIGH_POLY","P3"
"53","2017_OY_HIGH_POLY_P7_CV","Field17",2017,"OY","HIGH","POLY","P",7,"CV",1,0,"5/28/2017","OY","HH","P","7","CV","20.2","18.3","5.1","0.92","45.32",46.37,"15.65",17.19,"9/20-9/29","1",NA,1,"HIGH_POLY","P7"
"54","2017_OY_HIGH_POLY_R1_CV","Field17",2017,"OY","HIGH","POLY","R",1,"CV",0,0,"5/30/2017","OY","HH","R","1","CV","20.5","19.2","5.5","0.98","59.78",40.64,"18.74",20.83,"9/20-9/29","0",NA,1,"HIGH_POLY","R1"
"55","2017_OY_HIGH_POLY_R13_CV","Field17",2017,"OY","HIGH","POLY","R",13,"CV",0,1,"5/30/2017","OY","HH","R","13","CV","21","18.1","5.5","1.08","45.77",35.93,"14.21",14.49,"9/20-9/29","0",1,1,"HIGH_POLY","R13"
"56","2017_OY_HIGH_POLY_Y16_CV","Field17",2017,"OY","HIGH","POLY","Y",16,"CV",2,0,"5/30/2017","OY","HH","Y","16","CV","20.7","15.8","6.7","0.92","59.29",40.62,"19.21",25.39,"9/20-9/29","2",NA,0,"HIGH_POLY","Y16"
"57","2017_OY_HIGH_POLY_Y7_CV","Field17",2017,"OY","HIGH","POLY","Y",7,"CV",1,0,"5/30/2017","OY","HH","Y","7","CV","22.7","14.9","5.95","0.99","46.54",34.96,"20.42",18.66,"9/20-9/29","1",NA,0,"HIGH_POLY","Y7"
"58","2017_OY_LOW_MONO_B1_CV","Field17",2017,"OY","LOW","MONO","B",1,"CV",2,0,"5/30/2017","OY","LL","B","1","CV","22.45","16.7","6","1.11","54.71",45.93,"19.51",27.12,"9/20-9/27","2",NA,0,"LOW_MONO","B1"
